0, 0, 0, 0, 0, 0
5878.92, -0.0688042, 232.295, 0, 0, 1131.36
3910.55, -0.103162, 567.285, 0, 0, 1343.78
2862.01, -0.121019, 704.972, 0, 0, 1308.11
2375.43, -0.13123, 741.557, 0, 0, 1231.33
2116.88, -0.13682, 739.328, 0, 0, 1157.4
1951.08, -0.140107, 724.017, 0, 0, 1090.28
1825.43, -0.142492, 704.396, 0, 0, 1031.96
1713.56, -0.143985, 683.083, 0, 0, 983.544
1620.12, -0.144849, 660.534, 0, 0, 943.311
1538.8, -0.145092, 638.179, 0, 0, 906.094
1462.41, -0.145028, 616.632, 0, 0, 872.951
1387.99, -0.144912, 593.999, 0, 0, 837.334
1316.52, -0.144631, 571.198, 0, 0, 804.418
1245.11, -0.144426, 547.332, 0, 0, 773.248
1175.13, -0.144176, 523.213, 0, 0, 739.238
1110.34, -0.143887, 498.522, 0, 0, 700.943
1045.14, -0.143679, 473.763, 0, 0, 661.393
984.031, -0.143698, 449.166, 0, 0, 619.976
928.332, -0.143507, 424.95, 0, 0, 580.981
872.809, -0.142934, 401.019, 0, 0, 543.449
815.451, -0.142332, 377.174, 0, 0, 505.422
761.185, -0.141731, 353.665, 0, 0, 467.628
705.431, -0.14147, 330.495, 0, 0, 430.337
651.62, -0.14132, 307.864, 0, 0, 392.705
599.433, -0.140642, 285.697, 0, 0, 355.744
547.33, -0.139566, 263.362, 0, 0, 320.139
494.602, -0.138071, 241.073, 0, 0, 285.002
441.277, -0.136255, 218.88, 0, 0, 252.191
386.845, -0.134071, 197.567, 0, 0, 221.068
332.95, -0.1317, 177.397, 0, 0, 190.753
282.108, -0.129838, 157.984, 0, 0, 162.009
235.003, -0.127771, 139.311, 0, 0, 136.411
192.756, -0.125424, 121.821, 0, 0, 113.045
155.795, -0.122635, 105.605, 0, 0, 91.9355
124.421, -0.119458, 90.8141, 0, 0, 74.0824
97.69, -0.116167, 77.3801, 0, 0, 59.4042
75.6037, -0.111981, 65.4291, 0, 0, 47.599
57.8382, -0.10617, 54.9663, 0, 0, 37.5195
43.7488, -0.0987591, 45.7795, 0, 0, 29.279
33.0202, -0.0906455, 37.8653, 0, 0, 22.8561
25.0157, -0.0822823, 31.0954, 0, 0, 17.5796
19.2906, -0.0738197, 25.3407, 0, 0, 13.4518
15.0913, -0.0651027, 20.6285, 0, 0, 10.2626
11.8176, -0.0561474, 16.7489, 0, 0, 7.75901
9.37037, -0.0457335, 13.586, 0, 0, 5.89411
7.54253, -0.0362169, 11.0216, 0, 0, 4.51813
6.12592, -0.0293947, 8.96123, 0, 0, 3.50636
5.05964, -0.0237782, 7.38961, 0, 0, 2.75524
4.23494, -0.0185231, 6.17809, 0, 0, 2.17576
